iter	Recall	Logloss
131	0.5551601423	0.2316849761
132	0.5551601423	0.2303145156
133	0.5551601423	0.2287773971
134	0.5551601423	0.2272517239
135	0.5572953737	0.2259130499
136	0.5580071174	0.2244052208
137	0.559430605	0.2229206983
138	0.559430605	0.22153757
139	0.559430605	0.2202598158
140	0.5629893238	0.2188151174
141	0.5629893238	0.2174174875
142	0.5622775801	0.2161119656
143	0.5629893238	0.2148789908
144	0.5615658363	0.2135073597
145	0.5615658363	0.2123577789
146	0.5601423488	0.2110509044
147	0.5608540925	0.2098769894
148	0.5622775801	0.2085649515
149	0.5629893238	0.20738746
150	0.5637010676	0.2061338317
151	0.5637010676	0.2049859156
152	0.5658362989	0.203742367
153	0.5644128114	0.2024940581
154	0.5651245552	0.2013693186
155	0.5651245552	0.2002246019
156	0.5672597865	0.1991328454
157	0.5672597865	0.1979217726
158	0.568683274	0.196739872
159	0.568683274	0.1957137304
160	0.5701067616	0.1946605495
161	0.5701067616	0.1936371911
162	0.5743772242	0.1925917227
163	0.5758007117	0.1915670638
164	0.5743772242	0.1904719908
165	0.5758007117	0.1894531715
166	0.5772241993	0.1884723816
167	0.5772241993	0.1875104373
168	0.5772241993	0.1864816685
169	0.5786476868	0.1854697944
170	0.5814946619	0.1844470733
171	0.5822064057	0.1834416372
172	0.5850533808	0.1824562561
173	0.5850533808	0.1815297659
174	0.5850533808	0.1805610975
175	0.5850533808	0.1796039784
176	0.5857651246	0.1786876588
177	0.5886120996	0.17774443
178	0.5871886121	0.1768571657
179	0.5886120996	0.1759323403
180	0.5879003559	0.1750455832
181	0.590747331	0.1741702583
182	0.590747331	0.1732716918
183	0.590747331	0.1724421348
184	0.5921708185	0.1716507372
185	0.5921708185	0.1707873908
186	0.590747331	0.1699390272
187	0.5928825623	0.1690782039
188	0.5928825623	0.1682482437
189	0.5943060498	0.167496176
190	0.5957295374	0.1666749688
191	0.5971530249	0.1658665464
192	0.5964412811	0.1651347289
193	0.5992882562	0.1643246027
194	0.6028469751	0.1635383815
195	0.6028469751	0.1627763122
196	0.6021352313	0.16196603
197	0.6021352313	0.1612746349
198	0.6035587189	0.1605054904
199	0.6035587189	0.1597499892
200	0.6035587189	0.1590602719
201	0.606405694	0.1582884091
202	0.606405694	0.1575528459
203	0.6085409253	0.1567922203
204	0.6085409253	0.1560745663
205	0.6120996441	0.1553346331
206	0.6142348754	0.1546116597
207	0.6149466192	0.1538866963
208	0.615658363	0.153177223
209	0.6170818505	0.152479377
210	0.6177935943	0.1517605525
211	0.6206405694	0.151088055
212	0.6206405694	0.1503823794
213	0.6213523132	0.1496911275
214	0.6234875445	0.1490665438
215	0.6213523132	0.1484774014
216	0.6241992883	0.1477780727
217	0.6256227758	0.1470975506
218	0.6263345196	0.146475256
219	0.6277580071	0.1458107702
220	0.6298932384	0.1451522671
221	0.6291814947	0.1445502098
222	0.6284697509	0.1439518461
223	0.6334519573	0.1433099256
224	0.6320284698	0.1426769792
225	0.6320284698	0.142042316
226	0.6320284698	0.1414534076
227	0.6348754448	0.1408480338
228	0.6355871886	0.1402892211
229	0.6348754448	0.1396560016
230	0.6348754448	0.1390427331
231	0.6362989324	0.1384572713
232	0.6377224199	0.1378802374
233	0.6391459075	0.1372836685
234	0.6427046263	0.1367444558
235	0.6427046263	0.1361715968
236	0.6427046263	0.1356178044
237	0.6448398577	0.1351248278
238	0.6448398577	0.1345654429
239	0.6462633452	0.1340100248
240	0.6441281139	0.1335368952
241	0.6455516014	0.1329340965
242	0.646975089	0.1323633964
243	0.6455516014	0.1318209582
244	0.6462633452	0.1313580383
245	0.6476868327	0.1307826301
246	0.6476868327	0.1302107725
247	0.6498220641	0.1296903793
248	0.6519572954	0.1291405278
249	0.6519572954	0.1286956471
250	0.6519572954	0.1281418027
251	0.6526690391	0.1275978038
