iter	MultiClass
0	2.258435686
1	2.216853655
2	2.177990932
3	2.138781529
4	2.100117606
5	2.064304548
6	2.030232701
7	1.998231864
8	1.966851563
9	1.937475725
10	1.907763532
11	1.880239397
12	1.853865374
13	1.829311802
14	1.803666295
15	1.779023996
16	1.754930525
17	1.731944196
18	1.710318359
19	1.689135463
20	1.667879325
21	1.648771345
22	1.629589425
23	1.61080971
24	1.593839146
25	1.576449637
26	1.559647461
27	1.543843331
28	1.52870745
29	1.513149414
30	1.498703125
31	1.484363002
32	1.470757813
33	1.457003767
34	1.443966936
35	1.431633929
36	1.419694196
37	1.407798549
38	1.396199219
39	1.385195033
40	1.374344866
41	1.363737863
42	1.353548549
43	1.34402832
44	1.333806083
45	1.323905273
46	1.314780971
47	1.305581473
48	1.29679548
49	1.287962751
50	1.279382533
51	1.271158622
52	1.262942801
53	1.254638951
54	1.246520229
55	1.239092634
56	1.231269252
57	1.223983119
58	1.216652204
59	1.2096988
60	1.202836496
61	1.196114816
62	1.189526228
63	1.182724749
64	1.176167829
65	1.169565709
66	1.163268136
67	1.157012416
68	1.150482631
69	1.144242187
70	1.138162807
71	1.132380301
72	1.126456543
73	1.120921875
74	1.114973633
75	1.109377093
76	1.103985631
77	1.098635812
78	1.093084263
79	1.087953195
80	1.082533064
81	1.077470773
82	1.072207659
83	1.06730671
84	1.062185338
85	1.05712214
86	1.05224986
87	1.047373744
88	1.042671875
89	1.037784598
90	1.033354911
91	1.028566336
92	1.024053153
93	1.019527623
94	1.015030552
95	1.010617536
96	1.005999651
97	1.001551828
98	0.997378418
99	0.9930930525
100	0.9888143136
101	0.9846112584
102	0.9805791713
103	0.9763819754
104	0.9722804129
105	0.9681621094
106	0.9641752232
107	0.96023012
108	0.9563481445
109	0.952554269
110	0.948582659
111	0.9448058733
112	0.9409424526
113	0.9372879464
114	0.9336166295
115	0.9300325056
116	0.9262848772
117	0.922578125
118	0.9190279715
119	0.9156496233
120	0.9120774275
121	0.9085723354
122	0.904687779
123	0.9013175223
124	0.8979235491
125	0.894449707
126	0.890953683
127	0.8874416155
128	0.8840197405
129	0.8809455915
130	0.8775973772
131	0.8740884487
132	0.8708058733
133	0.8676196987
134	0.864347726
135	0.8612880162
136	0.858188058
137	0.8548131975
138	0.8517893415
139	0.8487114955
140	0.8456925223
141	0.8426728516
142	0.8396113281
143	0.8364333845
144	0.8333861607
145	0.8303638393
146	0.8274400112
147	0.8243813477
148	0.8212641602
149	0.8185297154
150	0.8157818778
151	0.8126838728
152	0.8098579799
153	0.8070433175
154	0.8042548828
155	0.8014623326
156	0.7984247349
157	0.7955562919
158	0.7925904715
159	0.7897659738
160	0.7869878627
161	0.7843756278
162	0.78164488
163	0.7789596122
164	0.7762645787
165	0.7734628209
166	0.7707534877
167	0.7680075335
168	0.7653393555
169	0.7626630859
170	0.7599995815
171	0.757262486
172	0.7546385324
173	0.7521526925
174	0.7496805943
175	0.7472546735
176	0.7447548131
177	0.7421969169
178	0.7398225446
179	0.7373734654
180	0.7349467773
181	0.7325484794
182	0.7301397182
183	0.7277158901
184	0.7253696987
185	0.7228861607
186	0.7203711635
187	0.7180406669
188	0.715628697
189	0.7133805106
190	0.7110408761
191	0.7086481585
192	0.7061779436
193	0.7038929269
194	0.7015800781
195	0.6993876256
196	0.6970752651
197	0.6947696708
198	0.6924744699
199	0.6902071708
200	0.6879679827
201	0.6857798549
202	0.6836444615
203	0.6814248744
204	0.6790883789
205	0.6769384766
206	0.6747021484
207	0.6723666295
208	0.670223284
209	0.6680394113
210	0.6658969029
211	0.6636665737
212	0.6616659459
213	0.6595342494
214	0.6575037667
215	0.6554000419
216	0.6532090541
217	0.651089216
218	0.6490375977
219	0.6470669643
220	0.6449316406
221	0.642921596
222	0.6409024833
223	0.6387976423
224	0.6368217773
225	0.6348620954
226	0.632984654
227	0.6308426339
228	0.628855678
229	0.6268581892
230	0.6248676758
231	0.6229157366
232	0.620964216
233	0.6189596122
234	0.6170166016
235	0.6150221819
236	0.6131359515
237	0.6112368164
238	0.6093860212
239	0.6074566127
240	0.6056654576
241	0.6038538644
242	0.6020945173
243	0.6002094029
244	0.59832101
245	0.596465332
246	0.5947015206
247	0.5929199219
248	0.5911153739
249	0.5892885045
250	0.5875191127
251	0.5856356027
252	0.5838812779
253	0.5821197335
254	0.5802339565
255	0.5785330985
256	0.5767317243
257	0.5749844448
258	0.5732652762
259	0.5714636928
260	0.5697393973
261	0.5681414621
262	0.5664172363
263	0.564760498
264	0.5631157924
265	0.5614014718
266	0.5597693569
267	0.5580819266
268	0.5562920619
269	0.5545759277
270	0.5528721052
271	0.5512217146
272	0.5495575474
273	0.5479528111
274	0.5463015137
275	0.5446248954
276	0.5429687849
277	0.5413558524
278	0.5396590053
279	0.5380011509
280	0.5363507254
281	0.5347071359
282	0.5331600167
283	0.5315732422
284	0.529980399
285	0.5283064662
286	0.5267742048
287	0.5252090541
288	0.5237140067
289	0.5221377999
290	0.5206538435
291	0.5191265346
292	0.5176601214
293	0.516182966
294	0.5146187919
295	0.5130620815
296	0.5115987026
297	0.5100592564
298	0.5085452358
299	0.5070657785
300	0.5056241281
301	0.5041578544
302	0.5027235979
303	0.501283517
304	0.4998278111
305	0.4983148717
306	0.4968699079
307	0.4953394252
308	0.4938765695
309	0.4924333147
310	0.4909601702
311	0.4895863211
312	0.4881289411
313	0.4867822963
314	0.4853231027
315	0.483923305
316	0.4824710868
317	0.4810869141
318	0.479753976
319	0.4783900321
320	0.4770889718
321	0.4757411761
322	0.4743904157
323	0.4730096261
324	0.4715683943
325	0.4702710658
326	0.4688726632
327	0.4676085031
328	0.4662375488
329	0.4649296526
330	0.4636176409
331	0.4623163714
332	0.4609861189
333	0.4597952009
334	0.4584333147
335	0.4571410784
336	0.4558845912
337	0.4546003069
338	0.4532777623
339	0.4519361747
340	0.4506557617
341	0.4494223633
342	0.44815768
343	0.4467849819
344	0.4455557338
345	0.444300293
346	0.443088065
347	0.4418709542
348	0.4406237444
349	0.4392950963
350	0.4381321498
351	0.4368709194
352	0.4356324637
353	0.434403983
354	0.4331736886
355	0.4319825963
356	0.430778704
357	0.4295525251
358	0.4283945661
359	0.4271776297
360	0.4260151716
361	0.4248583984
362	0.4236598772
363	0.4225312151
364	0.4213681641
365	0.4202399205
366	0.4191003767
367	0.4179287109
368	0.4168467494
369	0.4156676897
370	0.4145250767
371	0.4133224051
372	0.4122077637
373	0.4111088867
374	0.4100243094
375	0.4089281878
376	0.4078169643
377	0.4066992536
378	0.4055996094
379	0.4045524902
380	0.4034321289
381	0.4023018624
382	0.4012249233
383	0.4000860073
384	0.3990170201
385	0.3979732492
386	0.3969711565
387	0.3959496722
388	0.3948860561
389	0.3938441336
390	0.3928120466
391	0.3918003976
392	0.3907296317
393	0.3896498675
394	0.3886186872
395	0.3876159668
396	0.3865839495
397	0.3855925991
398	0.3845828683
399	0.3835129046
400	0.3824436035
401	0.3814359654
402	0.3804321987
403	0.3794087612
404	0.3784297573
405	0.3774894671
406	0.3764808175
407	0.3755192522
408	0.3744896066
409	0.373420166
410	0.3724299316
411	0.3714769113
412	0.3705494559
413	0.3695147879
414	0.36849857
415	0.3675330985
416	0.3666190709
417	0.3656795131
418	0.3647479074
419	0.363861921
420	0.3629017508
421	0.3619023089
422	0.3609107143
423	0.359949149
424	0.3589658203
425	0.3580385742
426	0.3571376256
427	0.3562366769
428	0.3553062919
429	0.3543281599
430	0.3533747559
431	0.352441755
432	0.3514633092
433	0.350578404
434	0.349699149
435	0.34879262
436	0.3479137137
437	0.3469891532
438	0.3460761021
439	0.3452182268
440	0.3443269392
441	0.3435180664
442	0.342616769
443	0.3417992467
444	0.3409398717
445	0.3400299595
446	0.3391592494
447	0.3382863421
448	0.3374458357
449	0.3366283482
450	0.3358184989
451	0.3349363142
452	0.3340712891
453	0.3332375837
454	0.3324196429
455	0.3316376256
456	0.3308148368
457	0.3300250767
458	0.3292773438
459	0.328355957
460	0.3275148577
461	0.3267580915
462	0.3259192941
463	0.325111921
464	0.3243036761
465	0.3234705636
466	0.3226416016
467	0.321840611
468	0.3210012905
469	0.3202112514
470	0.3194399065
471	0.3186132812
472	0.3178058036
473	0.3170274484
474	0.3162901437
475	0.3154572056
476	0.314685512
477	0.3138977748
478	0.3131896275
479	0.3124538923
480	0.3116606445
481	0.3109265137
482	0.310156529
483	0.3093968331
484	0.3086321847
485	0.3078545619
486	0.3070726842
487	0.3062848772
488	0.305506243
489	0.3047788086
490	0.3040348772
491	0.3033171735
492	0.3025341099
493	0.3017666364
494	0.3010024065
495	0.3003316127
496	0.2995833217
497	0.2988928223
498	0.2981297782
499	0.2974198172
500	0.2967152623
501	0.2959822126
502	0.2952502441
503	0.2944814802
504	0.2938087681
505	0.2930595354
506	0.2923093436
507	0.2916562849
508	0.2909327741
509	0.2902470529
510	0.2895944301
511	0.2889018206
512	0.2882034215
513	0.2875082485
514	0.2868563058
515	0.2861675153
516	0.2855141078
517	0.2848039202
518	0.2841188616
519	0.2834319894
520	0.2827760359
521	0.282140067
522	0.2814661342
523	0.2807897252
524	0.2801062709
525	0.2794651228
526	0.2787759138
527	0.2781875872
528	0.2775047259
529	0.276818743
530	0.276157802
531	0.2755073417
532	0.2749225377
533	0.2742941546
534	0.2736463623
535	0.2729621408
536	0.272318464
537	0.2716774728
538	0.2711013184
539	0.2704836949
540	0.2698540562
541	0.2692014335
542	0.2685344238
543	0.2679098772
544	0.2673047747
545	0.2667077811
546	0.2660606515
547	0.2654618094
548	0.2649157017
549	0.2643594622
550	0.2637861328
551	0.2631675502
552	0.2625468227
553	0.2619532471
554	0.2613322405
555	0.2607612305
556	0.2601409215
557	0.2596148507
558	0.2590496826
559	0.2584217181
560	0.2578100586
561	0.2572321952
562	0.2566683175
563	0.25607244
564	0.2554859096
565	0.2549019252
566	0.2542807268
567	0.2537147566
568	0.2531550467
569	0.2525732945
570	0.252029262
571	0.2514785854
572	0.2509379883
573	0.2503170515
574	0.24973509
575	0.249161377
576	0.2486331961
577	0.2480634068
578	0.2475265241
579	0.2469578509
580	0.2464545375
581	0.2459090402
582	0.2453617118
583	0.2448009556
584	0.2442386649
585	0.2436675502
586	0.2431378174
587	0.2425905413
588	0.2420867222
589	0.2415562919
590	0.2410995745
591	0.2405465785
592	0.2400790318
593	0.239549299
594	0.2390460554
595	0.238504255
596	0.2379789167
597	0.2374421212
598	0.2368963274
599	0.2363424944
600	0.2358338449
601	0.2353098145
602	0.2347975551
603	0.2343240095
604	0.2337747454
605	0.2332762626
606	0.232781529
607	0.2322758963
608	0.2317583008
609	0.231229684
610	0.2307350725
611	0.2302380545
612	0.2297426932
613	0.229278111
614	0.2287812849
615	0.228254133
616	0.2277110596
617	0.2272026716
618	0.2266804548
619	0.2261896973
620	0.2257321429
621	0.2252206682
622	0.2247331543
623	0.2242164132
624	0.2237072754
625	0.2232318464
626	0.2227594692
627	0.2222797677
628	0.2218437674
629	0.2213626883
630	0.2209060582
631	0.2204454171
632	0.2199861712
633	0.2195316511
634	0.2191014579
635	0.2186383929
636	0.2181274763
637	0.2176636963
638	0.2172223772
639	0.2167776576
640	0.2163093087
641	0.2158645717
642	0.2154086217
643	0.2149482422
644	0.2144906529
645	0.2140653251
646	0.2136431536
647	0.2132009801
648	0.2127434605
649	0.2123059256
650	0.2118494699
651	0.211411656
652	0.2109559675
653	0.2105195138
654	0.2101345389
655	0.2097061593
656	0.2092839007
657	0.2088578578
658	0.208400129
659	0.2079659773
660	0.2075429688
661	0.2070860247
662	0.2066757289
663	0.2062462333
664	0.2058227713
665	0.2054039481
666	0.205002982
667	0.2045716553
668	0.2041390904
669	0.2037299456
670	0.2033293806
671	0.2029498989
672	0.2025701381
673	0.2021610805
674	0.2017369036
675	0.2013246722
676	0.2009001465
677	0.2005290876
678	0.2001032366
679	0.1997463205
680	0.1993284738
681	0.1989453474
682	0.1985329067
683	0.1981065151
684	0.197695731
685	0.197298863
686	0.1968778425
687	0.1964713484
688	0.1960692313
689	0.1956857213
690	0.1952898996
691	0.1948940778
692	0.194498448
693	0.1941014404
694	0.1937040841
695	0.1933461914
696	0.1929287981
697	0.1925705741
698	0.1922087054
699	0.1918593924
700	0.1914930769
701	0.1911011963
702	0.1907205985
703	0.1903656878
704	0.1899899554
705	0.1896329694
706	0.1892428327
707	0.1888771798
708	0.1884981166
709	0.1881596157
710	0.1878044782
711	0.1874349888
712	0.1870265939
713	0.1866635742
714	0.1863056641
715	0.1859542411
716	0.1855864083
717	0.185250279
718	0.1849127023
719	0.1845324533
720	0.1842048165
721	0.1838624093
722	0.183507673
723	0.1831554304
724	0.1828229457
725	0.1824980294
726	0.1821686489
727	0.1818026472
728	0.1814605713
729	0.1811004464
730	0.1807558245
731	0.1804262347
732	0.1800655343
733	0.1797102225
734	0.1793593401
735	0.1790060512
736	0.1786649693
737	0.1783338797
738	0.1779923619
739	0.1776652309
740	0.1773289621
741	0.1769883684
742	0.1766453857
743	0.1763300432
744	0.1759763358
745	0.1756316267
746	0.1752868129
747	0.1749824219
748	0.174649292
749	0.1743341936
750	0.1740219901
751	0.1737135184
752	0.1734040179
753	0.1730785958
754	0.1727528076
755	0.1724338902
756	0.1721234131
757	0.1718014265
758	0.1715071324
759	0.171186785
760	0.1708682861
761	0.1705433175
762	0.1702317243
763	0.1699305071
764	0.1696205183
765	0.1693060652
766	0.1689788295
767	0.168649013
768	0.1683463484
769	0.1680383301
770	0.1677512033
771	0.1674527937
772	0.1671370152
773	0.1668472726
774	0.1665554025
775	0.1662726702
776	0.1659778006
777	0.1656790597
778	0.1653949149
779	0.1650833043
780	0.1647739258
781	0.1644660645
782	0.1641617083
783	0.1638600377
784	0.1635692313
785	0.163270874
