iter	Passed	Remaining
410	4262	11294
411	4272	11282
412	4282	11271
413	4292	11260
414	4302	11248
415	4312	11238
416	4322	11226
417	4333	11216
418	4343	11205
419	4353	11194
420	4363	11183
421	4373	11172
422	4383	11160
423	4393	11149
424	4403	11138
425	4413	11127
426	4423	11116
427	4433	11104
428	4444	11094
429	4454	11083
430	4464	11072
431	4474	11062
432	4484	11050
433	4494	11039
434	4504	11028
435	4515	11018
436	4524	11006
437	4534	10995
438	4544	10984
439	4555	10973
440	4565	10963
441	4575	10951
442	4585	10940
443	4595	10930
444	4605	10919
445	4615	10907
446	4625	10897
447	4636	10886
448	4646	10876
449	4656	10865
450	4666	10855
451	4677	10844
452	4686	10832
453	4697	10821
454	4707	10811
455	4718	10802
456	4729	10793
457	4739	10783
458	4749	10772
459	4760	10762
460	4770	10751
461	4780	10740
462	4790	10730
463	4800	10719
464	4810	10708
465	4821	10697
466	4831	10687
467	4841	10676
468	4851	10665
469	4861	10653
470	4871	10642
471	4881	10631
472	4891	10620
473	4901	10609
474	4911	10599
475	4921	10588
476	4932	10577
477	4942	10566
478	4952	10555
479	4962	10545
480	4972	10533
481	4982	10523
482	4992	10512
483	5002	10501
484	5012	10490
485	5023	10480
486	5033	10469
487	5043	10458
488	5053	10447
489	5063	10436
490	5073	10425
491	5083	10414
492	5093	10404
493	5103	10393
494	5113	10382
495	5123	10371
496	5134	10361
497	5144	10350
498	5154	10340
499	5165	10331
500	5175	10320
501	5186	10310
502	5196	10300
503	5206	10289
504	5217	10279
505	5227	10268
506	5237	10258
507	5247	10248
508	5259	10240
509	5271	10232
510	5282	10223
511	5294	10215
512	5305	10207
513	5316	10197
514	5326	10188
515	5337	10178
516	5348	10168
517	5358	10158
518	5368	10147
519	5379	10137
520	5389	10127
521	5399	10116
522	5409	10105
523	5419	10094
524	5429	10084
525	5440	10074
526	5450	10063
527	5460	10052
528	5471	10042
529	5481	10032
530	5492	10022
531	5502	10011
532	5512	10001
533	5523	9991
534	5533	9981
535	5543	9970
536	5553	9959
537	5563	9948
538	5574	9938
539	5584	9927
540	5594	9917
541	5604	9906
542	5614	9895
543	5625	9885
544	5635	9874
545	5645	9864
546	5655	9853
547	5666	9843
548	5676	9833
549	5686	9822
550	5696	9812
551	5707	9801
552	5717	9791
553	5728	9781
554	5739	9772
555	5750	9762
556	5760	9752
557	5771	9742
558	5782	9733
559	5792	9722
560	5802	9712
561	5813	9703
562	5824	9692
563	5834	9683
564	5845	9673
565	5856	9663
566	5866	9654
567	5877	9644
568	5888	9634
569	5899	9625
570	5910	9616
571	5921	9606
572	5932	9597
573	5943	9588
574	5954	9579
575	5966	9570
576	5977	9561
577	5988	9552
578	5999	9542
579	6009	9532
580	6020	9523
581	6031	9512
582	6041	9503
583	6053	9494
584	6063	9483
585	6074	9473
586	6084	9463
587	6094	9452
588	6105	9443
589	6116	9434
590	6126	9423
591	6137	9414
592	6148	9403
593	6158	9392
594	6169	9384
595	6180	9374
596	6191	9365
597	6201	9354
598	6212	9344
599	6223	9334
600	6233	9323
601	6243	9313
602	6254	9303
603	6264	9292
604	6274	9281
605	6284	9270
606	6294	9259
607	6304	9249
608	6314	9238
609	6324	9227
610	6334	9217
611	6344	9206
612	6355	9195
613	6365	9185
614	6375	9174
615	6385	9164
616	6395	9153
617	6405	9142
618	6416	9131
619	6425	9120
620	6436	9110
621	6446	9099
622	6456	9089
623	6466	9078
624	6476	9067
625	6487	9057
626	6497	9046
627	6507	9035
628	6518	9025
629	6528	9015
630	6538	9004
631	6548	8994
632	6559	8983
633	6569	8973
634	6579	8962
635	6590	8952
636	6600	8942
637	6610	8931
638	6621	8922
639	6631	8911
640	6642	8901
641	6653	8892
642	6663	8881
643	6675	8872
644	6686	8862
645	6698	8855
646	6708	8844
647	6719	8835
648	6731	8826
649	6741	8816
650	6753	8807
651	6764	8798
652	6774	8787
653	6786	8778
654	6796	8768
655	6806	8757
656	6817	8747
657	6828	8738
658	6838	8727
659	6849	8717
660	6860	8707
661	6870	8697
662	6881	8688
663	6892	8678
664	6902	8667
665	6913	8656
666	6924	8647
667	6935	8637
668	6946	8628
669	6956	8618
670	6967	8607
671	6977	8596
672	6988	8587
673	6998	8576
674	7008	8565
675	7018	8555
676	7028	8544
677	7038	8533
678	7048	8522
679	7058	8512
680	7069	8501
681	7079	8491
682	7089	8480
683	7099	8469
684	7109	8459
685	7119	8448
686	7130	8437
687	7140	8427
688	7150	8416
689	7160	8406
690	7170	8395
691	7180	8384
692	7191	8374
693	7201	8363
694	7211	8352
695	7221	8341
696	7231	8331
697	7241	8320
698	7252	8310
699	7262	8299
700	7272	8289
701	7282	8278
702	7292	8267
703	7302	8256
704	7312	8246
705	7322	8235
706	7333	8225
707	7343	8214
708	7353	8203
709	7363	8193
710	7373	8182
711	7384	8172
712	7394	8161
713	7404	8150
714	7414	8140
715	7424	8129
716	7434	8118
717	7445	8108
718	7455	8098
719	7465	8087
720	7476	8077
721	7485	8066
722	7496	8056
723	7506	8045
724	7516	8035
725	7527	8024
726	7537	8014
727	7547	8003
728	7557	7992
729	7567	7982
730	7577	7971
731	7588	7961
732	7598	7950
733	7608	7940
734	7618	7929
735	7628	7918
736	7638	7908
737	7648	7897
738	7658	7886
739	7669	7876
740	7679	7866
741	7689	7855
742	7699	7844
743	7710	7834
744	7720	7823
745	7730	7813
746	7741	7803
747	7751	7792
748	7761	7782
749	7771	7771
750	7782	7761
751	7792	7750
752	7802	7740
753	7812	7729
754	7823	7719
755	7832	7708
756	7843	7697
757	7853	7687
758	7863	7676
759	7873	7666
760	7883	7655
761	7893	7645
762	7903	7634
763	7913	7623
764	7924	7613
765	7934	7602
766	7944	7592
767	7954	7581
768	7964	7571
769	7974	7560
770	7985	7550
771	7995	7539
772	8005	7528
773	8015	7518
774	8026	7509
775	8037	7498
776	8047	7488
777	8058	7478
778	8068	7467
779	8079	7457
780	8089	7447
781	8099	7437
782	8110	7426
783	8121	7416
784	8131	7406
785	8142	7396
786	8153	7387
787	8164	7377
788	8175	7367
789	8186	7357
790	8198	7348
791	8208	7337
792	8219	7327
793	8229	7317
794	8240	7307
795	8251	7297
796	8261	7287
797	8272	7277
798	8283	7267
799	8293	7257
800	8303	7246
801	8314	7236
802	8325	7226
803	8335	7215
804	8346	7206
805	8356	7195
806	8367	7185
807	8378	7175
808	8389	7165
809	8399	7155
810	8410	7145
811	8421	7135
812	8431	7124
813	8441	7114
814	8452	7104
815	8462	7093
816	8472	7082
817	8482	7072
818	8492	7061
819	8502	7050
820	8512	7040
821	8522	7029
822	8532	7018
823	8542	7008
824	8552	6997
825	8562	6986
826	8572	6976
827	8582	6965
828	8593	6955
829	8602	6944
830	8613	6934
831	8623	6923
832	8633	6912
833	8643	6902
834	8652	6891
835	8663	6880
836	8672	6869
837	8682	6859
838	8692	6848
839	8702	6837
840	8712	6826
841	8722	6816
842	8732	6805
843	8742	6795
844	8753	6785
845	8763	6774
846	8774	6764
847	8784	6754
848	8795	6743
849	8805	6733
850	8816	6723
851	8826	6713
852	8836	6702
853	8847	6692
854	8857	6682
855	8868	6672
856	8878	6661
857	8889	6651
858	8899	6641
859	8910	6631
860	8921	6621
861	8931	6610
862	8942	6600
863	8952	6589
864	8962	6579
865	8973	6569
866	8983	6558
867	8993	6548
868	9004	6538
869	9014	6527
870	9025	6517
871	9036	6507
872	9046	6497
873	9057	6487
874	9068	6477
875	9078	6466
876	9089	6456
877	9100	6446
878	9111	6437
879	9121	6426
880	9131	6416
881	9142	6406
882	9152	6395
883	9163	6385
884	9174	6375
885	9184	6364
886	9194	6354
887	9204	6343
888	9214	6333
889	9224	6322
890	9234	6311
891	9244	6301
892	9254	6290
893	9264	6280
894	9275	6269
895	9285	6259
896	9295	6248
897	9305	6237
898	9314	6227
899	9324	6216
900	9334	6205
